manufacturer_slice,match
mogo,"['mogo', 'mhogo', 'mbogo', 'moo']"
mwiko,"['mwiko', 'wiko', 'wikoo']"
tight,"['tight', 'light']"
nyahu,"['nyahu', 'nanhu']"
cmoz,['cmoz']
chekon,['chekon']
hair food,['hair food']
trfvg,['trfvg']
bidci,"['bidci', 'bidim', 'bidii', 'biddi', 'bidco']"
yongli padlocks,['yongli padlocks']
olsho,"['olsho', 'osho']"
d-light,"['d-light', 'd- light', 'dlight', 'dplight', 'delight']"
begi,['begi']
craftsmen,['craftsmen']
hole colou,['hole colou']
raply,"['raply', 'rayply', 'raiply', 'raply k', 'riply']"
soshana,"['soshana', 'shoshana', 'shoshona']"
e t g,['e t g']
ployfoam,"['ployfoam', 'polyfoam']"
euro,"['euro', 'neuro', 'eurouk', 'europa']"
abbot,"['abbot', 'abbott']"
emass,"['emass', 'emas', 'mases']"
exextra,"['exextra', 'exetra', 'extra']"
bulbs,"['bulbs', 'bulb', 'bulls']"
kwagala,['kwagala']
bluecross,"['bluecross', 'blue cross']"
vijay,['vijay']
lonju,['lonju']
nirix,"['nirix', 'nerix']"
tolli,['tolli']
jorea,"['jorea', 'korea', 'joeka']"
luumi,"['luumi', 'liuumi', 'lumia']"
toshek,['toshek']
yaara,"['yaara', 'yara', 'amara', '.yara']"
agio,"['agio', 'kagio', 'fagio', 'agi', 'fangio']"
alvafet,"['alvafet', 'alvavet', 'alvet', 'alva vet']"
advance cut,['advance cut']
heri,"['heri', 'aheri', 'herpic', 'herbei']"
ung,"['ung', 'unga', 'fung', 'un', 'ug']"
bosi,"['bosi', 'boshi']"
ondex,"['ondex', 'lodex', 'donex', 'conex', 'bodex']"
watch,"['watch', 'latch']"
lodex,"['lodex', 'lordex', 'ondex', 'bodex']"
kaluma king,['kaluma king']
graffatton,"['graffatton', 'graffaton', 'griffatton', 'griffaton', 'griffatone']"
tory,"['tory', 'try', 'toy']"
tulwet,"['tulwet', 'tulwetvet']"
dust,['dust']
inco,"['inco', 'linco', 'ingco', 'incco', 'lincon']"
sea 40,['sea 40']
lugos,"['lugos', 'lugols', 'lugois', 'logos', 'lagos']"
jemau,['jemau']
ebenezar,"['ebenezar', 'ebenezer', 'benezer']"
jewelry,"['jewelry', 'jewelary']"
percha,"['percha', 'parcha']"
tindo,"['tindo', 'indo', 'indox']"
kewo,['kewo']
chanwan,"['chanwan', 'hanan', 'canan']"
toply,"['toply', 'topfly']"
jergens,['jergens']
sopa,['sopa']
cisa,"['cisa', 'isa']"
vendor,"['vendor', 'vensor', 'vedo', 'endo']"
er.,['er.']
teep,"['teep', 'teepe', 'tep', 'tee', 'teeper']"
kimeru,"['kimeru', 'meru']"
20 watt,['20 watt']
elephant ver,"['elephant ver', 'elephant vert', 'elephant vet', 'elephant-vert', 'elephant vant']"
pegla,"['pegla', 'peglar']"
frek,['frek']
locao,"['locao', 'loco', 'loca', 'locallo', 'locol']"
d-mark,"['d-mark', 'mark', 'dark']"
mann,"['mann', 'manns']"
fuxiang,['fuxiang']
biod,"['biod', 'bio', 'biomed', 'biodel']"
griffatton,"['griffatton', 'griffaton', 'griffatone', 'graffatton', 'griffton']"
fengda,['fengda']
tivala,"['tivala', 'tala']"
tutor,"['tutor', 'tuoro']"
mesh,['mesh']
delux,"['delux', 'deluxe']"
joker,['joker']
jsoa,['jsoa']
anhul,"['anhul', 'nanhu', 'anhui']"
dynasty beverages,['dynasty beverages']
lamford,"['lamford', 'stamford']"
mccd,"['mccd', 'mcc']"
it-fly,"['it-fly', 'itfly', 'it fly']"
makonge,"['makonge', 'makongo']"
nhahe,['nhahe']
ins,"['ins', 'kins', 'ns']"
raisman,"['raisman', 'rainsman']"
metrocyline,"['metrocyline', 'metrocycline']"
ve,"['ve', 'vet', 'ver', 'ven', 'veg']"
palea,"['palea', 'paleah', 'parle', 'palma', 'palca']"
maelezo,['maelezo']
shopn buy,['shopn buy']
ruiru dbml,"['ruiru dbml', 'ruiru dmbl']"
rods,['rods']
sulu,"['sulu', 'suluhu']"
g og,['g og']
kags,"['kags', 'kgs', 'kas']"
ainabkoi,['ainabkoi']
kelah,"['kelah', 'kela', 'kevla']"
cattle,"['cattle', 'cattlemix', 'cate']"
nat,"['nat', 'natz', 'nt', 'na', 'at']"
johpric,['johpric']
pana,"['pana', 'panna', 'panga', 'panda', 'pan']"
sut,"['sut', 'su', 'st']"
ebberna,"['ebberna', 'ebbernna']"
yako,['yako']
oxytetracycline hydrochloride,['oxytetracycline hydrochloride']
elcon,"['elcon', 'elgon', 'alcon']"
smile,"['smile', 'similae', 'smiel']"
geornsons lsrael technology,['geornsons lsrael technology']
henly,['henly']
gachanja,['gachanja']
kathy,['kathy']
made by gns,['made by gns']
oss,"['oss', 'toss', 'ross', 'moss', 'coss']"
abros,"['abros', 'tabros', 'abro', 'malbros', 'aroms']"
pynix,"['pynix', 'sphynix', 'synix']"
dettlo soap,['dettlo soap']
dabotick,"['dabotick', 'dabotik']"
mandolin,"['mandolin', 'sadolin', 'lanolin']"
solo,"['solo', 'solomo', 'soloma']"
ipica,"['ipica', 'ipca']"
twaford,"['twaford', 'twford', 'tywford', 'twyford', 'twiford']"
freshi,"['freshi', 'fresh', 'fresho', 'fresha', 'resi']"
kibo,"['kibo', 'kimbo', 'kibos', 'kibod', 'kiboko']"
i t c,['i t c']
cut,"['cut', 'cu', 'ct']"
rollar,"['rollar', 'roller', 'dollar', 'roll']"
cevac,"['cevac', 'ceva', 'cevia']"
cyper,"['cyper', 'hyper', 'cypro', 'cypcr']"
tryo,"['tryo', 'try', 'stryro']"
epoxy,['epoxy']
yaoben,['yaoben']
gracylink,['gracylink']
makongo,"['makongo', 'makonge', 'mango']"
budex,"['budex', 'buildex', 'bodex']"
conquer,"['conquer', 'consumer']"
lisha,"['lisha', 'alisha', 'misha', 'lishe']"
jeter,"['jeter', 'jetter', 'peter', 'jet r']"
tarajio/kajamba,['tarajio/kajamba']
whute wash,"['whute wash', 'white wash', 'whitewash']"
hass,"['hass', 'hss']"
taff,"['taff', 'tff']"
type r,"['type r', 'type c', 'type']"
binding wire,['binding wire']
bnd,"['bnd', 'bend', 'band', 'nd', 'bn']"
phose,"['phose', 'phoser', 'phos', 'hose', 'phosera']"
xtigi,"['xtigi', 'x-tigi', 'xtig']"
aooh,['aooh']
tyrax,['tyrax']
an,"['an', 'yan', 'van', 'ran', 'pan']"
akums,['akums']
resi,"['resi', 'resine', 'recrsi', 'freshi']"
pecker h,"['pecker h', 'pecker']"
e.e.l,['e.e.l']
smartlink,"['smartlink', 'smart lick', 'martin']"
b|braun,"['b|braun', 'b.braun', 'braun']"
garden,"['garden', 'ardent']"
eartags,"['eartags', 'ear tag']"
gilanis,"['gilanis', 'glans']"
lenovo,"['lenovo', 'novo']"
lovato,"['lovato', 'lato']"
rocho,"['rocho', 'royco', 'roche', 'ochoa']"
gobal,"['gobal', 'global', 'goal', 'gomba']"
re,"['re', 'rue', 'rer', 'ren', 'reg']"
sinl,"['sinl', 'sin', 'sinlex', 'single', 'singel']"
ridex,"['ridex', 'rider', 'pride']"
malava,"['malava', 'mala', 'lava']"
joma,"['joma', 'jomwa', 'jomas', 'jom', 'joymax']"
kaisugu,"['kaisugu', 'asugu']"
sacs,"['sacs', 'sacks', 'sas']"
dulhan,['dulhan']
hogedruck,"['hogedruck', 'hogedruk', 'hongduck']"
youvella,['youvella']
habei,"['habei', 'hebei']"
mirror,['mirror']
elephant,"['elephant', 'elephanties', 'elephant vet', 'elephant ver', 'elegant']"
schering-plough labo n.v,"['schering-plough labo n.v', 'schering plough labo']"
akvo,['akvo']
safepak,['safepak']
zpl,"['zpl', 'pl']"
volga,"['volga', 'vlega']"
wajoe,"['wajoe', 'wa joe', 'swajo']"
nyingi,['nyingi']
ult,['ult']
peris,"['peris', 'eris', 'perkins', 'prism']"
cabozinc,['cabozinc']
palvwt,"['palvwt', 'palvet']"
lolly,"['lolly', 'locally']"
zone,"['zone', 'ozone', 'zoe', 'one']"
zujibest,['zujibest']
roadcruza,['roadcruza']
avis,"['avis', 'davis', 'avvis', 'avs', 'advics']"
efroze,['efroze']
chemfx,"['chemfx', 'chem fx', 'chem']"
bowls,"['bowls', 'bolus']"
dharani,['dharani']
sae -40,['sae -40']
tel+ grp,['tel+ grp']
duobang,['duobang']
oil crop dev,"['oil crop dev', 'oil crop devep', 'oil crop dvt', 'oil crop ltd', 'oil crop']"
rececap ent,"['rececap ent', 'rencecap ent', 'reencap ent', 'rencecap entr.', 'renceca entr.']"
shirui,"['shirui', 'siri']"
uhurubags,"['uhurubags', 'uhuru bags', 'uhuru bag']"
poweroil,['poweroil']
hira,"['hira', 'hiral', 'hipra', 'chira', 'shiram']"
afrilighting,"['afrilighting', 'afrilight', 'afrilighting bulb', 'afri-light']"
global pest cleaner,"['global pest cleaner', 'global pest cleaners']"
haramba,"['haramba', 'heramba']"
latto,"['latto', 'lato', 'lacto']"
b and d,"['b and d', 'b and']"
moses,"['moses', 'moss', 'molases', 'mouse', 'mases']"
customers,['customers']
kirdi,['kirdi']
chrono,['chrono']
dezon,"['dezon', 'dizon']"
valadro,"['valadro', 'valagro']"
1 pin,['1 pin']
picos,"['picos', 'pios', 'pics', 'pitco']"
brake,"['brake', 'broke', 'barak', 'bakex', 'baker']"
suny girl,"['suny girl', 'sunny girl']"
teefee,"['teefee', 'teepee']"
glamon,"['glamon', 'glamason', 'laymon', 'lamo']"
oshi,"['oshi', 'moshi', 'doshi', 'boshi', 'osh']"
mahiu,"['mahiu', 'mahi', 'mahia', 'machi']"
kims,"['kims', 'kimsa', ""kim's"", 'kim']"
fusal llp,['fusal llp']
scouring power,"['scouring power', 'scour power']"
winsor,"['winsor', 'windsor', 'windsour', 'windsors']"
z-chen,"['z-chen', 'zcheng', 'z-chem', 'z-cheminc']"
itfly,"['itfly', 'it-fly', 'it fly', 'italy']"
waita,"['waita', 'wait']"
ultrasidai,['ultrasidai']
yui,"['yui', 'yuki', 'yu', 'ui']"
udimin,['udimin']
ey,"['ey', 'key']"
mailpha,"['mailpha', 'alpha']"
perfectio,"['perfectio', 'perfect', 'pefect']"
acetak,"['acetak', 'acetac']"
tiaty,['tiaty']
diadrim,"['diadrim', 'diarim', 'diarm']"
frmfix,"['frmfix', 'farmfix', 'farm fix', 'framix', 'farmix']"
nanhu,"['nanhu', 'nyahu', 'nanju', 'anhul', 'anhui']"
jecto,"['jecto', 'tecto', 'jacto']"
cntrt,['cntrt']
mylo,['mylo']
civa,"['civa', 'cotiva', 'chivas']"
dmax power,['dmax power']
hi-fi,"['hi-fi', 'hifi']"
pata,"['pata', 'pat', 'phanta']"
maxcell,"['maxcell', 'maxowell']"
laymon,"['laymon', 'glamon', 'lyon', 'lamo']"
dairy joy,['dairy joy']
leafy,['leafy']
kyowa kirin,['kyowa kirin']
malewa,"['malewa', 'malea', 'maleka', 'maleah', 'male']"
tech,"['tech', 'tec', 'techno', 'mitech', 'hytech']"
delamere,['delamere']
krishini,"['krishini', 'krishna']"
aloomaa,"['aloomaa', 'alooma']"
kibod,"['kibod', 'kibo', 'kimbo', 'kibos']"
valve,"['valve', 'valvex', 'alvet']"
boom,"['boom', 'broom']"
ridges,"['ridges', 'hidges']"
tumaini farms,['tumaini farms']
joflema,['joflema']
ebenezer shop,['ebenezer shop']
havi,"['havi', 'hai']"
annuo,['annuo']
dynamix,"['dynamix', 'dynamic']"
shoes,"['shoes', 'shore']"
hesca,"['hesca', 'heca']"
yinpin,"['yinpin', 'yipin']"
me,"['me', 'met', 'men', 'mem', 'med']"
ampicillin,['ampicillin']
cotever,"['cotever', 'cover']"
cosni,"['cosni', 'cosil', 'conix']"
nnetto,['nnetto']
lishe,"['lishe', 'lisha']"
t-max,['t-max']
pgas,"['pgas', 'gas', 'progas']"
made by shosho,"['made by shosho', 'made by osho']"
tyre,['tyre']
allparts/digue,['allparts/digue']
ross,"['ross', 'rossy', 'oss', 'rossel']"
sosi,"['sosi', 'sossi']"
trauw,['trauw']
swisschar,"['swisschar', 'swiss chard']"
hanzl,['hanzl']
nacabiez,"['nacabiez', 'macabiez']"
pikie,"['pikie', 'piki']"
trade,"['trade', 'traders']"
oxycycline,['oxycycline']
dulax,"['dulax', 'dumax']"
flexy,"['flexy', 'flex', 'flexi', 'filex']"
shambhuprasad & sons,"['shambhuprasad & sons', 'shambhuprasad $sons', 'shambhuprasad and saos']"
homa,"['homa', 'hom', 'homart']"
draimo,"['draimo', 'daimo', 'oraimo', 'iraimo', 'araimo']"
shandon,"['shandon', 'shandong', 'shandond', 'shadong']"
plumber,"['plumber', 'plumb']"
keafros,"['keafros', 'keafos', 'keapros', 'kerapros', 'keapross']"
nasanja,"['nasanja', 'nsanja', 'asanja', 'nsanjja', 'ansanja']"
nets,"['nets', 'net', 'nes']"
agrc,"['agrc', 'kagrc', 'agric', 'agr', 'kagric']"
caljyne,['caljyne']
ahadiilick maziwa,['ahadiilick maziwa']
joskijo,['joskijo']
kswhala,"['kswhala', 'keshwala']"
khetia,"['khetia', 'khetias', 'khetisas']"
mafuno,"['mafuno', 'mavuno']"
daim,"['daim', 'daimu', 'daimo', 'daima', 'dam']"
digital tv,"['digital tv', 'digital']"
ceway,['ceway']
eanko,"['eanko', 'zenko', 'vanko']"
rubering,"['rubering', 'rubber rings', 'bearing']"
gokul,['gokul']
bigo,"['bigo', 'bingo', 'bio', 'big', 'bigson']"
zazen,['zazen']
atca,['atca']
safa,"['safa', 'safqa', 'safar', 'saf', 'saa']"
knapsack co,"['knapsack co', 'knapsack']"
majic,"['majic', 'manji', 'magic']"
peanut,['peanut']
herders,['herders']
homart,"['homart', 'homa']"
catmax,"['catmax', 'chamax', 'catmag']"
maws,"['maws', 'mas']"
topsaf,['topsaf']
cyclemart,['cyclemart']
coop,"['coop', 'coope', 'coo', 'cooper']"
curburator,['curburator']
tabitha,"['tabitha', 'thabithi']"
yipin,"['yipin', 'yinpin', 'yupin']"
assia nhnb,['assia nhnb']
with cork,['with cork']
ranks,"['ranks', 'rans', 'trans']"
ukmax,"['ukmax', 'dumax']"
hard broom,['hard broom']
xplod,['xplod']
fungamil,"['fungamil', 'fugamil', 'fugamill']"
apicy,['apicy']
razor,['razor']
markru,"['markru', 'mark']"
ningo,"['ningo', 'ningbo', 'wingo', 'ringo', 'ingco']"
kinzy,['kinzy']
hollond,"['hollond', 'holland', 'hollarnd', 'hollands']"
rain,"['rain', 'grain', 'ran', 'rai', 'ravian']"
flexi,"['flexi', 'flex', 'plexi', 'flexy', 'filex']"
ely's,"[""ely's"", 'elys', 'ellys']"
tenri,['tenri']
pond,"['pond', 'poland']"
tecno/infinix,"['tecno/infinix', 'techno/infinix', 'itel/tecno/infinix']"
dhulail,['dhulail']
club soda,['club soda']
dafi,"['dafi', 'afi']"
ver,"['ver', 'vero', 'ever', 've']"
sugardish,['sugardish']
adavanta,"['adavanta', 'advanta', 'agvanta', 'advsnta', 'adjanta']"
d.light,"['d.light', 'dlight', 'dplight', 'delight', 'd-light']"
mr .muindi,['mr .muindi']
envirofit,['envirofit']
epic,"['epic', 'pic', 'epi', 'herpic']"
tda,"['tda', 'trda', 'ktda', 'ta', 'da']"
liger,"['liger', 'lighter', 'tiger', 'liner', 'lider']"
hengsui,['hengsui']
anath,"['anath', 'anrah', 'anant']"
dpih,['dpih']
hilux,"['hilux', 'wilux']"
palak,"['palak', 'palma', 'palea', 'palca', 'pagak']"
guzmania,['guzmania']
z_chem,"['z_chem', 'zchem', 'zchemz', 'z.chem', 'z-chem']"
spinx,"['spinx', 'spinix', 'sphinx', 'shpinx', 'spihnix']"
fosc,"['fosc', 'fos']"
tiges,"['tiges', 'tiles', 'tiger']"
herpic,"['herpic', 'heri', 'eric', 'epic']"
napru,"['napru', 'napro']"
bengbu bbca,['bengbu bbca']
packers,"['packers', 'packer', 'parkers']"
kori,"['kori', 'korie']"
onee,"['onee', 'one', 'nee']"
zuwea,"['zuwea', 'zuwena', 'zuwema', 'zuweba', 'zuena']"
gorgemi,['gorgemi']
pencil,['pencil']
"cropbb,","['cropbb,']"
ando,"['ando', 'bando', 'sandoz']"
sosel,"['sosel', 'solsel', 'sol sel']"
bens,"['bens', 'beans', 'bns', 'ben', 'bencos']"
waltham,['waltham']
richdoor,['richdoor']
dat,"['dat', 'data', 'dt', 'da', 'at']"
hose,"['hose', 'phose', 'horse', 'hoe', 'phoser']"
vanmax,"['vanmax', 'valmax', 'animax', 'anma']"
keaphros,"['keaphros', 'keapros', 'keaphos', 'kerapros', 'keapross']"
oce,"['oce', 'oc', 'ce']"
robes,"['robes', 'roberts', 'ropes', 'obest']"
mifugo mix,['mifugo mix']
gold touch,['gold touch']
ry,"['ry', 'try', 'rty', 'roy', 'ray']"
jiansu,"['jiansu', 'jiangsu', 'jiangusu', 'jingsu', 'jiagsu']"
kinghe,"['kinghe', 'king']"
patic,"['patic', 'plastic', 'patrick', 'patrice', 'patco']"
faya,['faya']
kefri,['kefri']
1 kgs,"['1 kgs', '1kgs']"
godson,"['godson', 'goodson', 'goodsons']"
almak,"['almak', 'palma', 'palak', 'kamak', 'balma']"
skyfon,"['skyfon', 'skyfone']"
norbox,"['norbox', 'nordox', 'noro']"
weida,"['weida', 'wenda', 'elida']"
nrbrk,"['nrbrk', 'norbrok', 'nrbnr']"
isos,"['isos', 'iso', 'ios', 'cismos']"
skin,"['skin', 'sin', 'sakins', 'sakina', 'joskin']"
tianjia machinery,"['tianjia machinery', 'tiantin machinery']"
upsa,"['upsa', 'usa']"
ph 8e,['ph 8e']
zeus,['zeus']
yons,"['yons', 'lyons', 'alyons']"
lense,"['lense', 'lens']"
hand spayers,"['hand spayers', 'panda sprayer']"
privi,['privi']
kyno,"['kyno', 'kynoch']"
aurobindoltd,"['aurobindoltd', 'aurobindo']"
cattle and,['cattle and']
shujjaa,"['shujjaa', 'shujaa']"
nilcan,"['nilcan', 'unican', 'nilzan', 'nila']"
lider,"['lider', 'sider', 'rider', 'liner', 'liger']"
ever-power,"['ever-power', 'e-power']"
hetco,"['hetco', 'heco', 'hemco']"
rhirh,['rhirh']
kitara,"['kitara', 'kita', 'kara', 'abakitara']"
bofa,['bofa']
keeru,['keeru']
coat,"['coat', 'coats', 'coast', 'oat', 'cat']"
cham,"['cham', 'cha', 'chambu', 'chamax']"
powermaxpo,"['powermaxpo', 'powermax', 'power max', 'powemax']"
fairs,"['fairs', 'fair', 'firms', 'famis']"
kiiza,['kiiza']
asdfggh,['asdfggh']
zed,"['zed', 'zd', 'ed']"
tect,"['tect', 'tecto', 'tet', 'tec', 'tct']"
saito,"['saito', 'siato', 'salit']"
werhl,['werhl']
rai 2,['rai 2']
bovtans general merchant,"['bovtans general merchant', 'bovtans general merchants', 'bovtan general merchant', 'bovtants general merchants', 'bovitans general merchants']"
e-gas,"['e-gas', 'egas', 'k-gas']"
thd,"['thd', 'th']"
delphram,"['delphram', 'delpharm']"
richpower,"['richpower', 'rich power']"
afyalax,"['afyalax', 'afyamax', 'afya max']"
erythrox,"['erythrox', 'erythro']"
um,"['um', 'unm', 'umi', 'ukm', 'jum']"
wilux,"['wilux', 'hilux']"
favorlick,"['favorlick', 'farmlick']"
daniel villa,['daniel villa']
kinangop,"['kinangop', 'kinanop']"
bovtans general merchants,"['bovtans general merchants', 'bovtants general merchants', 'bovitans general merchants', 'bovtans general merchant', 'bovtans general mechants']"
"harris 510""","['harris 510""']"
sotik uniforms centers,"['sotik uniforms centers', 'sotik uniforms centerso', 'sotik uniforms center', 'sotik uniforms centersso', 'sotik uniforms centre']"
ronak agrovets,"['ronak agrovets', 'ronak agrovet', 'ronak grovet', 'rona agrovet', 'ronak agrovetro']"
githurungi dairy farmers,"['githurungi dairy farmers', 'githunguri dairy farmers']"
chemelil  sugar,"['chemelil  sugar', 'chemelil sugar']"
"chusa-ro,sinam-myeon","['chusa-ro,sinam-myeon']"
intercheme,"['intercheme', 'interchreme', 'interchemie', 'interchem', 'interchemmie']"
discardit,"['discardit', 'bd discardit', 'bd discardict']"
kilimanjaro,['kilimanjaro']
nyukii maziwa,['nyukii maziwa']
oil crop development,"['oil crop development', 'oil crop devep']"
techno/infinix,"['techno/infinix', 'tecno/infinix', 'itel/tecno/infinix']"
krickwood,['krickwood']
sayari crop system,"['sayari crop system', 'sayari crop chem']"
kiptakich tra estate,"['kiptakich tra estate', 'kiptakich tea estate', 'kiptagich tea estate', 'kitagich tea estate']"
kemphi kco,['kemphi kco']
bovtans general,"['bovtans general', 'bovtan general', 'bovine general']"
guru nanak,['guru nanak']
pharmatec parkistan (pvt),"['pharmatec parkistan (pvt)', 'pharmatec pakistan ltd', 'pharmatec pakistan', 'pharmatect pakistan']"
jomu spice,"['jomu spice', 'jomu spice firm']"
hangzhou joke trade,"['hangzhou joke trade', 'hangzhou jike trade', 'hangzou jike  trade']"
uganda prisons seeds,"['uganda prisons seeds', 'uganda prisons']"
schering-plough,"['schering-plough', 'scheringplough', 'schering plough', 'schering plough labo']"
daffodills,['daffodills']
aisin no2,['aisin no2']
bright home,"['bright home', 'bright homes', 'brighthome', 'brighthomes']"
johwama invst,"['johwama invst', 'johwama inv.', 'johwama investment']"
kenya dairy.,"['kenya dairy.', 'kenya. dairy.', 'kenya dairy']"
auto security lock,['auto security lock']
western cables,"['western cables', 'western cable', 'eastern cables ltd']"
vanlo invo.lt(,"['vanlo invo.lt(', 'vanlo inv.ltd', 'vanlo inv. ltd', 'vanlo inv ltd']"
measuring tape,['measuring tape']
ebbernna,"['ebbernna', 'ebberna']"
nguvu/joxim/field,['nguvu/joxim/field']
dynapharm lab,"['dynapharm lab', 'dynapharmlab', 'dynapharm']"
baibai wholesalers,['baibai wholesalers']
rithophos,['rithophos']
boresha bakers,['boresha bakers']
menegai oil refriners,"['menegai oil refriners', 'menengai oil refineries', 'menengai oil refinery', 'menegai oil reference']"
excellence,"['excellence', 'excellent', 'execellent', 'exccellent']"
jieng fenshu,"['jieng fenshu', 'jieng fenshug', 'jieng fengshu', 'jieng fendshu', 'jieng fengushu']"
maisha 3m,"['maisha 3m', 'maisha lmtd', 'maisha']"
tarajio farmcare,['tarajio farmcare']
jasho bora,"['jasho bora', 'malisho bora']"
tri- cycle,"['tri- cycle', 'tri-cycle', 'tri- cyle', 'tri cycle', 'tri -cycle']"
algreenbrands,"['algreenbrands', 'algreen brands', 'algreen brand', 'agreen brands', 'aigreen brands']"
hoop iron,['hoop iron']
hetco/yog/class one,['hetco/yog/class one']
tri-circyle,"['tri-circyle', 'tri-circle', 'tricircle', 'try-circle', 'tri circle']"
joxim/elipwa,"['joxim/elipwa', 'joxim/elipwa/field']"
made in england,"['made in england', 'made in uganda', 'made in poland', 'made in thiland', 'made  in uganda']"
crocodile/ammark,"['crocodile/ammark', 'crocodile/ramg']"
sc johnson,"['sc johnson', 'johnson', 's.c johnson&son', 's,c johnson&son']"
t.r./field,['t.r./field']
medical union,['medical union']
kuku chick,"['kuku chick', 'kukuchick', 'kukuchic']"
kachwekano,['kachwekano']
yielderphos,"['yielderphos', 'hiyielderphos', 'hi-yielderphos', 'hi yielderphos', 'pol-yielderphos']"
hesadashi  cho yokkaichi,['hesadashi  cho yokkaichi']
tri -cycle,"['tri -cycle', 'tri-cycle', 'tri cycle', 'tri- cycle', 'tricycle']"
jieng fengsh,"['jieng fengsh', 'jieng fengshu', 'jieng fengushu', 'jieng  fengshu', 'jieng fenshu']"
farmline expert,"['farmline expert', 'farmline experts', 'farmline xperts', 'famine expert']"
"kenya, japan ,germany,","['kenya, japan ,germany,']"
amarshal ug,"['amarshal ug', 'amarshal ug ltf', 'amarshal ug ltd', 'amarshal', 'amashal uganda']"
highem,"['highem', 'higchem', 'highchem', 'hichem', 'highchema']"
texican ea,"['texican ea', 'texican ea ltd']"
gaden pump,"['gaden pump', 'garden pump']"
bull dog,['bull dog']
mara sugar comp.,['mara sugar comp.']
white wash etra,"['white wash etra', 'white wash']"
exxonmobil petrolium,['exxonmobil petrolium']
canye home defense,"['canye home defense', 'home defense']"
seeds of success,"['seeds of success', 'seed your success']"
contract manufacturing &packaging,['contract manufacturing &packaging']
agarfert int,"['agarfert int', 'agafert int.', 'agefert int', 'agafent int', 'agarfert int ltd']"
brilliart.,"['brilliart.', 'brilliart', 'brilliant.', 'brilliant']"
cities farming,"['cities farming', 'citi farming', 'citi farmings', 'citifarming', 'city farming']"
pension towers,['pension towers']
hair relaxer super,['hair relaxer super']
elephant-vert,"['elephant-vert', 'elephant vert', 'elephant vet', 'elephant ver']"
general purpose,['general purpose']
ziejag yfan,"['ziejag yfan', 'zhejiang yifan']"
cherry flavour,['cherry flavour']
tiger nylon rope,"['tiger nylon rope', 'tiger nylon']"
cheplanget,['cheplanget']
pang xiang,['pang xiang']
holley-cotec,"['holley-cotec', 'holley cotec', 'holley-cotec ltd', 'holley cotex']"
stainoff liquid,['stainoff liquid']
hiralab,"['hiralab', 'hira lab', 'hiral lab', 'hiral', 'hiral labs']"
remedica/cyprus,['remedica/cyprus']
taizhou xinkang,"['taizhou xinkang', 'taizhou xiefeng']"
pecho care,['pecho care']
pudlo,"['pudlo', 'pudro', 'budlo']"
etg,"['etg', 'tg', 'et', 'eg']"
zydus,"['zydus', 'zydas']"
taiwan,['taiwan']
rai,"['rai', 'rain', 'rail', 'ra']"
wataalam,"['wataalam', 'watalaam']"
rbi no2,['rbi no2']
vuno,"['vuno', 'mavuno']"
555 no2,"['555 no2', '555 no']"
yara,"['yara', 'yaara', '.yara', 'yar', 'yaa']"
super quality,['super quality']
always,['always']
kagrc,"['kagrc', 'kagric', 'agrc', 'karcs', 'agric']"
janto,"['janto', 'jantos', 'jatco', 'jango', 'jacto']"
toyotatsusho,"['toyotatsusho', 'toyota tsusho', 'toyota tshusho', 'toyota shusho', 'toyota tsusho ltd']"
manns,"['manns', 'mans', 'mann']"
apollo,"['apollo', 'polo']"
farmshop,"['farmshop', 'farm shop']"
metrocycline,"['metrocycline', 'metrocyline']"
kolega,['kolega']
hollan,"['hollan', 'holland', 'holla', 'hollarnd', 'hollands']"
cetriz,['cetriz']
volcano,"['volcano', 'valcano']"
schuller,['schuller']
arom's,"[""arom's"", 'aroms', 'aroms.', 'arom,s', 'arom']"
syphinix,"['syphinix', 'syphnix', 'sphinix', 'spinix', 'sphnix']"
nsk no2,['nsk no2']
bellamax,"['bellamax', 'bella max', 'bellmax', 'belamax', 'brllamax']"
tropkos,['tropkos']
beekay,"['beekay', 'beka']"
lake victoria,['lake victoria']
horse,"['horse', 'hose', 'shore', 'phose']"
royco,"['royco', 'royol', 'rocho']"
vet power,"['vet power', 'vetpower']"
kenploy,"['kenploy', 'kenpply', 'kenpoly', 'kenpo', 'kenpolly']"
cattlephos,"['cattlephos', 'cattlephose', 'cattlephos ltd', 'calphos']"
redberry,['redberry']
supaphos,"['supaphos', 'supaphous', 'supaphose', 'superphos', 'supafos']"
kings,"['kings', 'kins', 'king', 'rings', 'oking']"
crown,"['crown', 'crowns', 'grown', 'acron']"
flora,['flora']
bijoro,['bijoro']
broadways,"['broadways', 'broadway', 'broad way']"
cure quick,['cure quick']
sokoni,"['sokoni', 'soko']"
kisoko,"['kisoko', 'kioko', 'kiroko', 'kiboko', 'soko']"
cipla,['cipla']
cheptil,['cheptil']
karanja kibera,['karanja kibera']
liugel,['liugel']
abyssina iron &steel,['abyssina iron &steel']
lndoco,"['lndoco', 'indoco', 'endoco', 'loco']"
pecker,"['pecker', 'pecker h', 'peoker', 'peeker', 'packer']"
kenzene,['kenzene']
maisha,"['maisha', 'misha', 'maish', 'mashal', 'alisha']"
madeira,"['madeira', 'mandera', 'maira']"
be honest,['be honest']
eurouk,"['eurouk', 'euro']"
chongqing,"['chongqing', 'chonging', 'chongging', 'chongqingbull', 'cheng quing']"
